accuracy;loss;val_accuracy;val_loss
0.3292853832244873;2.3854544162750244;0.40380001068115234;2.188810348510742
0.4362984597682953;2.0932376384735107;0.4814999997615814;1.9615429639816284
0.4888257086277008;1.9609653949737549;0.5091000199317932;1.8907781839370728
0.5249118804931641;1.858791470527649;0.557699978351593;1.7527403831481934
0.5580343008041382;1.7689591646194458;0.5684999823570251;1.7049601078033447
0.5838072896003723;1.690436840057373;0.600600004196167;1.6438287496566772
0.6127042770385742;1.6165778636932373;0.6358000040054321;1.5345990657806396
0.6316285133361816;1.5554311275482178;0.644599974155426;1.509147047996521
0.6540171504020691;1.495527744293213;0.6705999970436096;1.4373525381088257
0.668816089630127;1.4459155797958374;0.666700005531311;1.4605712890625
0.6858178377151489;1.3924784660339355;0.6905999779701233;1.386441946029663
0.6994753479957581;1.3589653968811035;0.704800009727478;1.3392738103866577
0.7142542600631714;1.3106052875518799;0.6952000260353088;1.36235511302948
0.7286126017570496;1.2730610370635986;0.7206000089645386;1.285556435585022
0.7373638153076172;1.242563009262085;0.7390000224113464;1.2425833940505981
0.7493792176246643;1.2064937353134155;0.748199999332428;1.191939115524292
0.7584107518196106;1.1836836338043213;0.7477999925613403;1.2063841819763184
0.7650192379951477;1.1543045043945312;0.7656000256538391;1.1516218185424805
0.775993287563324;1.1223605871200562;0.7700999975204468;1.135846495628357
0.7837632298469543;1.0963575839996338;0.7717000246047974;1.132325530052185
0.7904918193817139;1.0767748355865479;0.781000018119812;1.1076868772506714
0.7990427613258362;1.054423451423645;0.7829999923706055;1.1023362874984741
0.8038889765739441;1.0325672626495361;0.7878000140190125;1.0714234113693237
0.8078140020370483;1.0172330141067505;0.7961000204086304;1.056121826171875
0.8147028088569641;1.0002585649490356;0.7961999773979187;1.0475267171859741
0.8196291327476501;0.9822220206260681;0.8036999702453613;1.0273704528808594
0.8226129412651062;0.9670132398605347;0.809499979019165;1.0059590339660645
0.82872074842453;0.9474796652793884;0.8111000061035156;1.0023648738861084
0.8334868550300598;0.9343664050102234;0.8062999844551086;1.0137152671813965
0.8400552868843079;0.9137162566184998;0.8166000247001648;0.9898091554641724
0.8396547436714172;0.9115012288093567;0.8217999935150146;0.9662884473800659
0.844420850276947;0.8910596966743469;0.8004000186920166;1.0412935018539429
0.8489065766334534;0.8802041411399841;0.8220000267028809;0.9528236389160156
0.8511695265769958;0.8653437495231628;0.8252000212669373;0.9564972519874573
0.8565163612365723;0.8512938022613525;0.8183000087738037;0.9737588167190552
0.8613024950027466;0.840171217918396;0.8313999772071838;0.927146315574646
0.8627243041992188;0.8286272287368774;0.839900016784668;0.9045791029930115
0.8657882213592529;0.8185386657714844;0.8274000287055969;0.9472101330757141
0.8680911660194397;0.8056583404541016;0.8331000208854675;0.9220088124275208
0.8689923286437988;0.8020263314247131;0.8325999975204468;0.9153916239738464
0.8744192719459534;0.7864776253700256;0.8468999862670898;0.8855884671211243
0.8740988373756409;0.7801545858383179;0.8416000008583069;0.8906941413879395
